name,acc,auc,f1,lin,pearson
GB,0.5206611752510071,0.9166666865348816,0.8617614507675171,0.6037300229072571,0.600588321685791
SVR,0.5702479481697083,0.9113247990608215,0.8430379629135132,0.6076622009277344,0.6045001149177551
LSVR,0.4958677589893341,0.8611111044883728,0.7350427508354187,0.4162936210632324,0.41412732005119324
XGB,0.5123966932296753,0.9134615659713745,0.8430379629135132,0.608748197555542,0.6055804491043091
1,0.5702479481697083,0.9049145579338074,0.8617614507675171,0.6364314556121826,0.6331195831298828
4,0.5950413346290588,0.9081196784973145,0.8800773620605469,0.6255209445953369,0.6222658753395081
0.1,0.5206611752510071,0.8974359035491943,0.8640350699424744,0.600820004940033,0.5976935029029846
0.01,0.5454545617103577,0.879273533821106,0.8458137512207031,0.49270960688591003,0.49014565348625183
10,0.5702479481697083,0.9123931527137756,0.8617614507675171,0.607424795627594,0.6042639017105103
100,0.4710743725299835,0.8856837749481201,0.7267117500305176,0.5427549481391907,0.5399305820465088
No scaler,0.4958677589893341,0.9027777910232544,0.8115501403808594,0.6135806441307068,0.6103876829147339
Standard,0.5950413346290588,0.9070512652397156,0.827201783657074,0.6424753069877625,0.639132022857666
Control,0.4958677589893341,0.9294871687889099,0.8041917681694031,0.6055757403373718,0.6024245023727417
+APOE,0.5123966932296753,0.938034176826477,0.8430379629135132,0.6187655925750732,0.6155456900596619
"+APOE+Edu
+Age",0.5537189841270447,0.9284188151359558,0.8430379629135132,0.6435592174530029,0.6402102708816528
Right only,0.5371900796890259,0.9134615659713745,0.8081575036048889,0.579475462436676,0.5764600038528442
Both hemisphere,0.586776852607727,0.9134615659713745,0.827201783657074,0.6131722927093506,0.6099815368652344
L,0.4749999940395355,0.8844444155693054,0.8953089118003845,0.3278161585330963,0.3263743221759796
L1,0.4166666567325592,0.8377777934074402,0.751165509223938,0.384174644947052,0.38248491287231445
L2,0.5416666865348816,0.9366666674613953,0.8953089118003845,0.4655407965183258,0.4634931981563568
Final,0.5583333373069763,0.9866666793823242,0.8933566212654114,0.6030589938163757,0.6004065275192261
RF,0.4833333194255829,0.9555555582046509,0.8222610950469971,0.5214903950691223,0.5191966891288757
GB,0.5083333253860474,0.9200000166893005,0.8222610950469971,0.5201043486595154,0.5178167223930359
SVR,0.5666666626930237,0.9866666793823242,0.9302059412002563,0.6426345705986023,0.6398080587387085
LSVR,0.3916666805744171,0.7411110997200012,0.6859267950057983,0.2031150609254837,0.20222169160842896
XGB,0.4833333194255829,0.9399999976158142,0.8547618985176086,0.5277816653251648,0.5254603028297424
1,0.6000000238418579,0.9866666793823242,0.9119769334793091,0.6059366464614868,0.6032715439796448
4,0.5583333373069763,0.9844444394111633,0.9119769334793091,0.5983895063400269,0.5957576036453247
0.1,0.6083333492279053,0.9777777791023254,0.8767676949501038,0.6015901565551758,0.5989441275596619
0.01,0.6000000238418579,0.9677777886390686,0.8767676949501038,0.5772314667701721,0.5746926069259644
10,0.5583333373069763,0.9822221994400024,0.9119769334793091,0.5878514647483826,0.5852659344673157
100,0.574999988079071,0.948888897895813,0.8578088283538818,0.5047533512115479,0.5025332570075989
No scaler,0.5166666507720947,0.9711111187934875,0.8578088283538818,0.5685297250747681,0.5660291910171509
Standard,0.5916666388511658,0.9700000286102295,0.9134751558303833,0.562218427658081,0.5597456097602844
Control,0.550000011920929,0.9766666889190674,0.8383868336677551,0.5352302193641663,0.5328760743141174
